#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
1.0,Bitcoin1BTC,"$17,057.89",0.15%,0.71%,0.62%,"$328.01B$328,014,185,248","$19,306,495,4371,131,822 BTC","19,231,962 BTC"
2.0,Ethereum2ETH,"$1,255.03",0.03%,1.47%,0.05%,"$153.57B$153,570,557,512","$4,811,694,3253,833,923 ETH","122,373,866 ETH"
3.0,Tether3USDT,$1.00,0.00%,0.01%,0.00%,"$65.72B$65,716,546,734","$25,587,983,82925,584,731,577 USDT","65,708,194,112 USDT"
4.0,BNB4BNB,$274.69,0.19%,5.20%,4.25%,"$43.94B$43,938,786,116","$954,830,0883,476,041 BNB","159,968,186 BNB"
5.0,USD Coin5USDC,$1.00,0.00%,0.01%,0.00%,"$42.52B$42,523,446,377","$2,301,327,7842,301,243,727 USDC","42,521,893,180 USDC"
6.0,Binance USD6BUSD,$1.00,0.03%,0.00%,0.05%,"$22.00B$22,001,678,787","$6,349,691,0436,349,596,982 BUSD","22,001,352,863 BUSD"
7.0,XRP7XRP,$0.3805,0.78%,1.51%,1.26%,"$19.15B$19,150,438,246","$859,558,5742,258,849,612 XRP","50,395,461,568 XRP"
8.0,Dogecoin8DOGE,$0.08869,0.31%,8.04%,12.02%,"$11.77B$11,768,230,785","$781,594,0768,812,862,023 DOGE","132,670,764,300 DOGE"
9.0,Cardano9ADA,$0.3045,0.04%,2.75%,4.21%,"$10.50B$10,501,400,213","$191,088,600627,489,495 ADA","34,471,810,427 ADA"
10.0,Polygon10MATIC,$0.8877,0.11%,2.44%,2.12%,"$7.75B$7,753,156,825","$224,944,482253,411,167 MATIC","8,734,317,475 MATIC"
